,title,brand,rating_5.0,price,discount,rating
28,"PAPER PLANE DESIGN Home Decor Buddha Large Size Canvas Framed Painting. Suitable for Living Room, Bedroom or Office. (24 INCH X 24 INCH, A),Wood",Paper Plane Design,3.6,"2,395.",-18%,49 ratings
29,Lukzer 8 Shelves Modern Simple Engineered Wood Book Shelf with Storage Display Rack Open Bookcase Showcase Stand (MR-004/White/164 x 24 x 70 cm) DIY (Do It Yourself),Lukzer,3.6,"3,637.",-76%,287 ratings
30,"Webelkart Premium HD UV Printed Mahindra Thar Car Shape designer Wooden Key Holder Home And Office Decor (11 X 6 Inch, Wood, Yellow)",ETrade Online,4.3,199.,-87%,96 ratings
31,"Dekorly Artificial Potted Plants, 8 Pack Artificial Plastic Eucalyptus Plants Small Indoor Potted Houseplants, Small Faux Plants for Home Decor Bathroom Office Farmhouse (Set 0F 8)",Dekorly®,4.2,289.,-71%,"10,234 ratings"
32,"CINAGRO Metal Flower Vase Planter Pot with Iron Stand, Pots for Plants, Plant Pots for Home Decoration, Succulent Pot, Indoor Planter Garden Decor (Size: 6X6 inch) Style: Mandala Fusion Spectrum",ETrade Online,4.3,349.,-56%,"1,508 ratings"
33,"One94Store 3D Galaxy Crystal Ball Night Lamp,Creative Engraved Crystal Ball Night Light, USB Table LED Wooden Crystal Ball for Home Office Decoration Birthday Gift Adults (Galaxy)(Warm White)",X4Cart,4.0,299.,-70%,954 ratings
34,amazon basics Artificial Plants with Pot|Realistic Looking| Multi Variety |Durable Plastic | No Maintenance | Home Decor | Dimensions: 5 cm X 13 cm (Pack of 8),ETrade Online,4.1,349.,-42%,"1,868 ratings"
35,"KridayKraft Metal Ganesha ji Statue,Ganpati Wall Hanging Sculpture Lord Ganesh Idol Lucky Feng Shui Wall Decor Your Home, Office,Religious Gift Article Decorative,Showpiece Figurines...",Prince Home Decor & Gifts - KridayKraft®,4.5,299.,-63%,"1,780 ratings"
36,Artvibes Designer Elephant Wooden Wall Hanging for Home Decor | Hamsa Hand Decoration for Livingroom | Modern Artworks Items | Peace Charm Door Accent Decorative Hangings (WH_8506N),WishBag Online Pvt Ltd,4.2,179.,-82%,"1,900 ratings"
37,"Homesake Tealight Candle Holders for Home Decor, Mosaic Glass, Flowers Diwali Decoration Items, Diwali Gift Items, Diwali Decoration Items for Home Decor | Pack of 2",ETrade Online,4.3,319.,-86%,"7,043 ratings"
38,"CraftVatika Set of 3 Metal Trunk Up Elephant Family Statue Showpiece Figurine -Fengshui Vastu Lucky - Decorative Items for Home Living Room Decor Living Room Office Desktop & Gifting,Corporate Gift",ETrade Online,4.2,348.,-42%,"1,885 ratings"
39,"Xtore® 12pcs 3D Home Decor Butterfly with Sticking Pad (Shimmer Golden, Set of 12)",ETrade Online,4.1,265.,-73%,"8,138 ratings"
40,"RUCON® 3D Moon lamp 7 Multi Colors Changing Touch Sensor for Adult and Kids with Wooden Stand Night Lamp for Bedroom Home Decorations Light (15cm), LED",RUCON™,4.2,649.,-35%,"3,462 ratings"
41,"BEHOMA Aluminium Pair of Swans for Good Luck and Love | Candle Holder for Home Decor Tabletop Living Room | Showpiece for Gifting Anniversary Valentine's Day (Candles/Plants Etc Not Included), Gold",Behoma,4.4,"1,599.",-33%,156 ratings
42,Sehaz Artworks Memories Wall Hanging | Photo Frames For Wall Decoration | Unique Home Decor Items | Photo Hanging Clips And Rope | Wall Decoration Items for Living Room |Room Decor Items | Photo Frame For Friends,ETrade Online,4.4,229.,-71%,191 ratings
43,"Artvibes Meditating Gautam Buddha Wooden Wall Hanging for Home Decor | Decoration Items for Livingroom | Art Item for Office | Decorative Mdf Wall Hanger Artwork (WH_9507N), (Set of 3)",WishBag Online Pvt Ltd,4.3,199.,-80%,940 ratings
44,"Street27® Home Decor Elephant Statues,1 Pair, Small Decorative Accents for Shelves, Livingroom and Bedroom, Gold and White (2pcs Elephant)",Street27™,4.4,429.,-57%,31 ratings
45,Amazon Basics Flameless LED Candles with Remote Controller & Timer | Golden Acrylic Fiber Glass | Set of 3 | (Smoked Grey),ETrade Online,4.2,869.,-59%,"2,184 ratings"
46,"wolpin Plastic Tree Key Holders With Tray For Dressing Table Home Decor Hallway Multiple Key Hanger,Watch Holder Decorative Storage Box,White",Wolpin,3.8,218.,-64%,575 ratings
47,Ancient Shoppee Wooden 1 Glass Test Tube Home Decor Planter Modern Flower Vase with Wood Stand Plant Propagation,Ancient Shoppee,4.2,139.,-54%,440 ratings
48,"HindCraft Chakra Tree, Crystal Tree for Positive Energy - Crystals & Healing Stones - Feng Shui Seven Chakra Tree of Life Decor - Home Decorations for Living Room, 7 Chakra Tree, 200 Beads, 8-10""",HindCraft Exclusive Store,4.1,489.,-76%,895 ratings
49,PARADIGM PICTURES fengshui Wind Chimes for Home Balcony Bedroom || Home Decoration Items (House Wind Chime),ETrade Online,4.1,548.,-45%,"2,170 ratings"
50,"Artvibes Home Decorative Wall Art MDF Wooden Wall Hanger for Living room | Bedroom | Gifts | Wall Hangings for Decoration | Modern Decor Items | Artworks Canvas Painting (WH_6603N), Set of 6",WishBag Online Pvt Ltd,4.3,229.,-77%,"2,410 ratings"
